"","Variables","ROC","Sens","Spec"
"1",1,0.848982785602504,0.971830985915493,0.333333333333333
"2",2,0.857589984350548,0.943661971830986,0.444444444444444
"3",3,0.830985915492958,0.943661971830986,0.388888888888889
"4",4,0.804381846635368,0.929577464788732,0.388888888888889
"5",5,0.776212832550861,0.929577464788732,0.388888888888889
"6",6,0.758998435054773,0.915492957746479,0.388888888888889
"7",7,0.755868544600939,0.901408450704225,0.444444444444444
"8",8,0.755868544600939,0.901408450704225,0.444444444444444
"9",9,0.76056338028169,0.901408450704225,0.444444444444444
