"","Estimate","Std. Error","z value","Pr(>|z|)","OR","2.5 %","97.5 %"
"(Intercept)",-1.99359073243312,0.401159459854448,-4.96957178364049,6.71009260316045e-07,0.136205468925732,0.0557576641313557,0.276320300612655
"PC1",0.899537040923997,0.235016309274742,3.82755155886823,0.000129424279320305,2.45846467911733,1.64802181524802,4.19525726500634
"PC9",-1.53858482604017,0.720239941846835,-2.13621147154786,0.0326621808343177,0.214684702752873,0.0459331797989313,0.81437139448919
