"","Estimate","Std. Error","z value","Pr(>|z|)","OR","2.5 %","97.5 %"
"(Intercept)",2.05546253025503,0.467437663594756,4.39729762990818,1.09606998726725e-05,7.81044960655186,3.46129362464958,22.6353756955479
"PC01",0.802544388173336,0.242473301630041,3.3098257943377,0.000933540531004563,2.23121077860114,1.48114490508379,3.8965593159512
